												
//미션 진행정보 스크립트												
//최초 작성자 : 송영덕												
//최종 수정자 : 송영덕												
//최종 수정일 : 2010-09-01												
												
												
//인덱스	미션코드	미션네임	공개조건필드코드	텍스트정보	공개조건트리거ID1	공개조건트리거ID2	공개조건트리거ID3	공개조건트리거ID4	공개조건트리거ID5	완료조건필드코드	완료조건트리거ID	
95	11	50003	7	95	2147483650	0	0	0	0	7	2147483651	
96	11	50003	7	96	2147483651	0	0	0	0	7	2147483670	
97	11	50003	7	97	842018893	858796109	0	0	0	7	2147483681	
98	11	50003	7	98	2147483670	0	0	0	0	7	2147483681	
99	11	50003	7	99	2147483681	0	0	0	0	7	2147483683	
100	11	50003	7	100	2147483682	2147483683	0	0	0	7	2147483688	
101	11	50003	7	101	2147483688	0	0	0	0	7	2147483690	
102	11	50003	507	102	2147483650	0	0	0	0	507	2147483654	
103	11	50003	507	103	2147483654	0	0	0	0	507	2147483655	
104	11	50003	8	104	2147483648	0	0	0	0	8	2147483649	
105	11	50003	8	105	2147483649	0	0	0	0	8	2147483652	
106	11	50003	8	106	2147483652	0	0	0	0	8	2147483660	
107	11	50003	8	107	858796109	0	0	0	0	8	2147483660	
108	11	50003	8	108	2147483660	0	0	0	0	8	2147483679	
109	11	50003	8	109	2147483679	0	0	0	0	8	2147483695	
110	11	50003	8	110	825241684	2147483695	0	0	0	8	2147483699	
111	11	50003	8	111	808529997	0	0	0	0	8	2147483704	
112	11	50003	8	112	2147483699	0	0	0	0	8	2147483701	
113	11	50003	8	113	2147483701	0	0	0	0	8	2147483707	
114	11	50003	8	114	2147483707	0	0	0	0	8	2147483704	
115	11	50003	8	115	2147483704	0	0	0	0	8	2147483705	
116	11	50003	8	116	2147483705	0	0	0	0	8	2147483706	
117	11	50003	508	117	2147483652	0	0	0	0	508	2147483668	
118	11	50003	508	118	2147483668	0	0	0	0	508	2147483670	
119	11	50003	9	119	2147483648	0	0	0	0	9	825241684	
120	11	50003	9	120	825241684	0	0	0	0	9	2147483677	
121	11	50003	9	121	2147483651	0	0	0	0	9	2147483656	
122	11	50003	9	122	2147483656	0	0	0	0	9	2147483661	
123	11	50003	9	123	2147483661	0	0	0	0	9	2147483670	
124	11	50003	9	124	2147483670	0	0	0	0	9	2147483674	
125	11	50003	9	125	2147483674	0	0	0	0	9	2147483675	
126	11	50003	9	126	2147483675	0	0	0	0	9	2147483677	
127	11	50003	509	127	2147483651	0	0	0	0	509	2147483660	
128	11	50003	509	128	2147483654	0	0	0	0	509	2147483660	
129	11	50003	509	129	2147483660	0	0	0	0	509	2147483661	
//용족의계곡 메인미션												
130	16	50004	10	130	2147483649	0	0	0	0	10	2147483651	
131	16	50004	10	131	2147483651	0	0	0	0	10	2147483657	
132	16	50004	10	132	2147483657	0	0	0	0	10	2147483680	
133	16	50004	10	133	2147483680	0	0	0	0	10	892350541	
134	16	50004	10	134	892350541	0	0	0	0	10	2147483713	
135	16	50004	10	135	842018893	0	0	0	0	10	2147483712	
136	16	50004	10	136	2147483713	0	0	0	0	10	2147483754	
137	16	50004	10	137	2147483712	0	0	0	0	10	2147483752	
138	16	50004	10	138	2147483754	0	0	0	0	10	2147483769	
139	16	50004	10	139	2147483752	0	0	0	0	10	2147483769	
140	16	50004	10	140	825307213	0	0	0	0	10	2147483782	
141	16	50004	10	141	2147483769	0	0	0	0	10	2147483777	
142	16	50004	10	142	2147483777	0	0	0	0	10	2147483782	
143	16	50004	10	143	2147483781	0	0	0	0	10	2147483782	
//144	16	50004	10	144	2147483782	0	0	0	0	10	2147483783	
145	16	50004	10	145	2147483777	2147483782	0	0	0	10	2147483783	
146	16	50004	510	146	2147483648	0	0	0	0	510	2147483658	
147	16	50004	510	147	825241677	0	0	0	0	510	2147483652	
148	16	50004	510	148	2147483658	2147483659	0	0	0	510	2147483660	
149	16	50004	510	149	2147483660	0	0	0	0	510	2147483652	
150	16	50004	510	150	2147483652	0	0	0	0	510	2147483653	
151	16	50004	510	151	2147483653	0	0	0	0	510	2147483654	
152	16	50004	510	152	2147483654	0	0	0	0	510	2147483655	
153	16	50004	510	153	2147483655	0	0	0	0	510	2147483656	
154	16	50004	11	154	2147483648	0	0	0	0	11	2147483664	
155	16	50004	11	155	2147483664	0	0	0	0	11	2147483671	
156	16	50004	11	156	825249096	0	0	0	0	11	2147483671	
157	16	50004	11	157	825246024	0	0	0	0	11	2147483671	
158	16	50004	11	158	825246280	0	0	0	0	11	2147483671	
159	16	50004	11	159	825246536	0	0	0	0	11	2147483671	
160	16	50004	11	160	2147483671	0	0	0	0	11	2147483680	
161	16	50004	11	161	825246797	0	0	0	0	11	2147483710	
162	16	50004	11	162	2147483680	0	0	0	0	11	2147483710	
163	16	50004	11	163	2147483702	0	0	0	0	11	2147483704	
164	16	50004	11	164	2147483699	0	0	0	0	11	2147483701	
165	16	50004	11	165	2147483707	0	0	0	0	11	2147483709	
166	16	50004	11	166	2147483705	0	0	0	0	11	2147483706	
167	16	50004	11	167	2147483710	0	0	0	0	11	2147483713	
168	16	50004	11	168	2147483713	0	0	0	0	11	2147483714	
169	16	50004	11	169	2147483714	0	0	0	0	11	2147483721	
170	16	50004	11	170	2147483721	2147483722	0	0	0	11	2147483725	
171	16	50004	11	171	2147483725	0	0	0	0	11	2147483729	
172	16	50004	11	172	2147483729	0	0	0	0	11	2147483775	
173	16	50004	11	173	825249094	0	0	0	0	11	2147483735	
174	16	50004	11	174	2147483735	0	0	0	0	11	2147483743	
175	16	50004	11	175	2147483743	0	0	0	0	11	2147483746	
176	16	50004	11	176	2147483746	0	0	0	0	11	2147483751	
177	16	50004	11	177	2147483751	0	0	0	0	11	2147483755	
178	16	50004	11	178	2147483755	0	0	0	0	11	2147483761	
179	16	50004	11	179	2147483761	0	0	0	0	11	2147483766	
180	16	50004	11	180	2147483766	0	0	0	0	11	2147483771	
181	16	50004	11	181	2147483767	2147483768	2147483769	0	0	11	2147483772	
182	16	50004	511	182	2147483651	0	0	0	0	511	2147483654	
183	16	50004	511	183	2147483654	0	0	0	0	511	2147483655	
184	16	50004	511	184	825241677	0	0	0	0	511	2147483655	
185	16	50004	511	185	842018893	0	0	0	0	511	2147483655	
186	16	50004	511	186	2147483655	0	0	0	0	511	2147483657	
187	16	50004	511	187	2147483657	0	0	0	0	511	2147483659	
188	16	50004	511	188	2147483665	0	0	0	0	511	2147483667	
189	16	50004	511	189	2147483659	0	0	0	0	511	2147483661	
190	16	50004	511	190	2147483667	0	0	0	0	511	2147483671	
191	16	50004	511	191	2147483675	0	0	0	0	511	2147483676	
192	16	50004	511	192	2147483676	0	0	0	0	511	2147483712	
193	16	50004	511	193	2147483712	0	0	0	0	511	2147483695	
194	16	50004	12	194	825246541	0	0	0	0	12	2147483652	
195	16	50004	12	195	2147483652	0	0	0	0	12	2147483658	
196	16	50004	12	196	2147483658	0	0	0	0	12	825316180	
197	16	50004	12	197	825316180	0	0	0	0	12	2147483677	
198	16	50004	12	198	2147483677	0	0	0	0	12	2147483682	
199	16	50004	12	199	825381716	0	0	0	0	12	2147483679	
200	16	50004	12	200	2147483679	0	0	0	0	12	2147483682	
201	16	50004	12	201	2147483682	0	0	0	0	12	825447252	
202	16	50004	12	202	825447252	0	0	0	0	12	858805325	
203	16	50004	12	203	858805325	0	0	0	0	12	842028109	
204	16	50004	512	204	2147483650	0	0	0	0	512	2147483668	
205	16	50004	512	205	2147483668	0	0	0	0	512	2147483671	
//아이올트공동묘지 메인미션												
206	21	52020	113	206	2147483664	0	0	0	0	113	808538708	
207	21	52020	113	207	2147483664	0	0	0	0	113	959468116	
208	21	52020	113	208	959468116	808538708	0	0	0	113	942690900	
209	21	52020	113	209	842093140	0	0	0	0	113	2147483698	
210	21	52020	113	210	842093140	0	0	0	0	113	2147483709	
211	21	52020	113	211	842093140	0	0	0	0	113	2147483734	
212	21	52020	113	212	842093140	0	0	0	0	113	2147483697	
213	21	52020	113	213	842093140	0	0	0	0	113	875713108	
214	21	52020	113	214	909267540	0	0	0	0	113	808800852	
215	21	52020	113	215	2147483698	2147483712	2147483734	0	0	113	2147483672	
216	21	52020	114	216	2147483649	0	0	0	0	114	2147483660	
217	21	52020	115	217	2147483659	0	0	0	0	116	2147483649	
218	21	52020	116	218	2147483656	0	0	0	0	116	2147483680	
219	21	52020	117	219	2147483648	0	0	0	0	117	2147483694	
220	21	52020	117	220	2147483694	0	0	0	0	117	825250896	
//음모의 분쇄												
221	4	52005	2	221	2147483769	0	0	0	0	2	0	
//숨겨진 길												
222	9	52009	19	221	2147483661	0	0	0	0	19	0	
//에텔레인 진입로												
223	7	52004	5	221	2147483755	0	0	0	0	5	0	
//시겔기사단의 묘지												
224	8	52003	5	221	2147483823	0	0	0	0	5	0	
//제국전령 제지												
225	12	52008	101	221	2147483742	0	0	0	0	101	0	
//성외곽에서의 전투												
226	13	52010	20	221	2147483686	0	0	0	0	20	0	
//설원2차 진격												
227	14	52007	8	221	2147483788	0	0	0	0	8	0	
//계곡입구정찰												
228	17	52012	10	221	2147483732	0	0	0	0	10	0	
//추격의 실마리												
229	18	52015	23	221	2147483649	0	0	0	0	23	0	
//용족수장구출												
230	19	52011	11	221	2147483691	0	0	0	0	11	0	
//대제례 추적												
231	22	52018	106	221	2147483650	0	0	0	0	106	0	
//숨겨진 위험												
232	23	52017	513	221	2147483649	0	0	0	0	513	0	
//암흑의 전당을 향해												
233	24	52016	103	221	2147483649	0	0	0	0	103	0	
//어둠의 제단												
234	25	52019	108	221	2147483649	0	0	0	0	108	0	
//오염된 성소												
235	27	52021	118	221	2147483661	0	0	0	0	118	0	
//검은 에테르의 정체												
236	28	52022	119	221	2147483650	0	0	0	0	119	0	
//절망의 부활의식												
237	29	52023	120	221	2147483649	0	0	0	0	120	0	
//헬론의 성 메인미션												
238	26	50006	122	221	2147483649	0	0	0	0	122	0	
//붕괴된 에텔레인 미션												
239	5	55025	34	221	2147483648	0	0	0	0	34	0	
