//인첸트스크립트_all		//조합코드:index값							아이템참조		7245마야보석1레벨_Drop						조합 비용												
//최종수정자:정동일		//아이템종류:0:무기1:방어구							4201필미스톤		7246마야보석2레벨						1~6 100%가 1:1												
//Version	0.0.0.9	//최소아이템레벨:인첸트가일어나는최소아이템레벨(아이템스크립트LV파라미터값비교)							4202오버미스톤		7247마야보석3레벨						7인챈 이상은 50%가 1:1												
//작성일	오후 4:51 2009-02-13	//최대아이템레벨:인첸트가일어나는최대아이템레벨(아이템스크립트LV파라미터값비교)							4203스트렝스스톤		7248마야보석4레벨_Cash																		
//									4701프로텍션크리스탈		7249마야금속1레벨_Drop																		
//									4702샤이닝크리스탈		7250마야금속2레벨																		
//									4204메가미스톤		7251마야금속3레벨																		
//									4703유니크리스탈		7252마야금속4레벨_Cash					//테스트를 위한 가 데이터										//현재 인챈트 착용 요구치 공식 : INT(인챈트 급수 / ( 3 - (아이템 레벨 / 6 ) ) + 1 )			
//																	"//(100%조합*상수 값)으로 계산하며, 소수점 첫 째 자리에서 반올림한 정수 값으로 출력."									사용여부			
//					  MONEY EnchantFare = (rTargetSlot.GetPriceForBuy()*rTargetSlot.GetItemInfo()->m_LV)												//소수점 3째 자리까지 입력 가능(ex. 0.001)									0. 사용안함			
//																										1. 사용함			
//1.1																													
//추가 버전															816		816						816			816			
//설명	조합코드	아이템종류	아이템레벨	인첸트등급	인첸트재료1	인첸트재료1개수	인첸트재료2	인첸트재료2개수	인첸트재료3	인첸트재료3개수	인첸트재료4	인첸트재료4개수	인첸트재료5	인첸트재료5개수	100%재료	필요하임배율	75%재료	필요하임배율	50%재료	필요하임배율	25%재료	필요하임배율	사용여부	다운확률	다운레벨	사용여부	착용요구치상승폭		
	bCode	bItemType	bItemLV	bEnchant	wMaterial1	wMaterial1Num	wMaterial2	wMaterial2Num	wMaterial3	wMaterial3Num	wMaterial4	wMaterial4Num	wMaterial5	wMaterial5Num	HaimFare1	MaterialFare1	HaimFare2	MaterialFare2	HaimFare3	MaterialFare3	HaimFare4	MaterialFare4	bDownGrade	byDownPer	byDownLV	bLimitRatio	dLimitRatio	FieldEnd	
	13	0	2	1	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	14	0	2	2	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	15	0	2	3	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	16	0	2	4	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	17	0	2	5	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	18	0	2	6	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	19	0	2	7	4201	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	20	0	2	8	4201	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	21	0	2	9	4201	4	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	22	0	2	10	4201	8	4701	1	4702	1	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	23	0	2	11	4201	16	4701	2	4702	2	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	24	0	2	12	4201	32	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	25	0	3	1	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	26	0	3	2	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	27	0	3	3	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	28	0	3	4	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	29	0	3	5	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	30	0	3	6	4201	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	31	0	3	7	4201	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	32	0	3	8	4201	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	33	0	3	9	4201	4	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	34	0	3	10	4201	8	4701	1	4702	1	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	35	0	3	11	4201	16	4701	2	4702	2	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	36	0	3	12	4201	32	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	37	0	4	1	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	38	0	4	2	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	39	0	4	3	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	40	0	4	4	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	41	0	4	5	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	42	0	4	6	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	43	0	4	7	4202	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	44	0	4	8	4202	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	45	0	4	9	4202	4	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	46	0	4	10	4202	8	4701	2	4702	2	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	47	0	4	11	4202	16	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	48	0	4	12	4202	32	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	49	0	5	1	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	50	0	5	2	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	51	0	5	3	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	52	0	5	4	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	53	0	5	5	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	54	0	5	6	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	55	0	5	7	4202	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	56	0	5	8	4202	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	57	0	5	9	4202	4	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	58	0	5	10	4202	8	4701	2	4702	2	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	59	0	5	11	4202	16	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	60	0	5	12	4202	32	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	61	0	6	1	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	62	0	6	2	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	63	0	6	3	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	64	0	6	4	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	65	0	6	5	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	66	0	6	6	4202	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	67	0	6	7	4202	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	68	0	6	8	4202	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	69	0	6	9	4202	4	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	70	0	6	10	4202	8	4701	2	4702	2	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	71	0	6	11	4202	16	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	72	0	6	12	4202	32	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	73	0	7	1	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	74	0	7	2	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	75	0	7	3	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	76	0	7	4	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	77	0	7	5	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	78	0	7	6	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	79	0	7	7	4203	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	80	0	7	8	4203	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	81	0	7	9	4203	4	4701	2	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	82	0	7	10	4203	8	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	83	0	7	11	4203	16	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	84	0	7	12	4203	32	4701	16	4702	16	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	85	0	8	1	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	86	0	8	2	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	87	0	8	3	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	88	0	8	4	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	89	0	8	5	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	90	0	8	6	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	91	0	8	7	4203	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	92	0	8	8	4203	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	93	0	8	9	4203	4	4701	2	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	94	0	8	10	4203	8	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	95	0	8	11	4203	16	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	96	0	8	12	4203	32	4701	16	4702	16	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	97	0	9	1	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	98	0	9	2	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	99	0	9	3	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	100	0	9	4	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	101	0	9	5	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	102	0	9	6	4203	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	103	0	9	7	4203	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	104	0	9	8	4203	2	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	105	0	9	9	4203	4	4701	2	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	106	0	9	10	4203	8	4701	4	4702	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	107	0	9	11	4203	16	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	108	0	9	12	4203	32	4701	16	4702	16	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	109	0	10	1	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+1인첸트할때필요재료
	110	0	10	2	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+2인첸트할때필요재료
	111	0	10	3	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+3인첸트할때필요재료
	112	0	10	4	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	1		//+4인첸트할때필요재료
	113	0	10	5	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.67		//+5인첸트할때필요재료
	114	0	10	6	4204	1	0	0	0	0	0	0	0	0	1	1	0.75	0.75	0.5	0.5	0.25	0.25	1	0	1	1	0.75		//+6인첸트할때필요재료
	115	0	10	7	4204	1	4701	1	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	10	1	1	0.6		//+7인첸트할때필요재료
	116	0	10	8	4204	2	4701	2	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	20	1	1	0.4		//+8인첸트할때필요재료
	117	0	10	9	4204	4	4701	4	0	0	0	0	0	0	1	1	1	1	0.75	0.75	0.5	0.5	1	30	1	1	0.2		//+9인첸트할때필요재료
	118	0	10	10	4204	8	4701	8	4702	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	40	1	1	-0.3		//+10인첸트할때필요재료
	119	0	10	11	4204	16	4701	16	4702	16	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	50	1	1	-0.5		//+11인첸트할때필요재료
	120	0	10	12	4204	32	4701	32	4702	32	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	100	1	1	-0.9		//+12인첸트할때필요재료
	121	0	21	1	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+1인첸트할때필요재료
	122	0	21	2	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+2인첸트할때필요재료
	123	0	21	3	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+3인첸트할때필요재료
	124	0	21	4	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+4인첸트할때필요재료
	125	0	21	5	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.67		//+5인첸트할때필요재료
	126	0	21	6	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.75		//+6인첸트할때필요재료
	127	0	21	7	4204	4	4201	4	4701	4	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.6		//+7인첸트할때필요재료
	128	0	21	8	4204	8	4201	8	4701	8	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.4		//+8인첸트할때필요재료
	129	0	21	9	4204	16	4201	16	4701	16	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	0.2		//+9인첸트할때필요재료
	130	0	21	10	4204	32	4201	32	4701	32	4702	32	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.3		//+10인첸트할때필요재료
	131	0	21	11	4204	64	4201	64	4701	64	4702	64	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.5		//+11인첸트할때필요재료
	132	0	21	12	4204	128	4201	128	4701	128	4702	128	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	-0.9		//+12인첸트할때필요재료
	133	0	25	1	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+1인첸트할때필요재료
	134	0	25	2	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+2인첸트할때필요재료
	135	0	25	3	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+3인첸트할때필요재료
	136	0	25	4	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1		//+4인첸트할때필요재료
	137	0	25	5	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.67		//+5인첸트할때필요재료
	138	0	25	6	7283	1	4204	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.75		//+6인첸트할때필요재료
	139	0	25	7	7283	2	4204	2	4701	4	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.6		//+7인첸트할때필요재료
	140	0	25	8	7283	4	4204	4	4701	8	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.4		//+8인첸트할때필요재료
	141	0	25	9	7283	8	4204	8	4701	16	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0.2		//+9인첸트할때필요재료
	142	0	25	10	7283	16	4204	16	4701	32	4702	32	0	0	1	1	1	1	1	1	1	1	1	0	1	1	-0.3		//+10인첸트할때필요재료
	143	0	25	11	7283	32	4204	32	4701	64	4702	64	0	0	1	1	1	1	1	1	1	1	1	0	1	1	-0.5		//+11인첸트할때필요재료
	144	0	25	12	7283	64	4204	64	4701	128	4702	128	0	0	1	1	1	1	1	1	1	1	1	0	1	1	-0.9		//+12인첸트할때필요재료
	145	0	20	1	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+1인첸트할때필요재료
	146	0	20	2	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+2인첸트할때필요재료
	147	0	20	3	4204	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.75	0.75	1	0	1	1	1		//+3인첸트할때필요재료
