//최초작성자:지원길																																																											
//최종수정자:정동일																																																											
//Version	1.0.0.2																									528 	700 																																
//PC스타일파라미터																										533 	533 																																
//	오후 3:47 2008-07-01																									500 	567 																																
//																																																											
//1.1																																																											
//																																										814																	
//스킬ID	스킬종류ID	스타일이름	네임코드	스타일설명코드	스타일종류	이미지코드	요구레벨	스타일레벨	최고레벨	오버가능레벨	오버스탯1종류	오버스탯1요구치/스타일요구스탯	오버스탯1종류	오버스탯2요구치/스타일요구스탯	요구스킬포인트	클래스제한	무기제한1	공격타입	사정거리	이동공격여부	스타일여부	1타코드	2타코드	3타코드	복귀코드	1타시간	2타시간	3타시간	1타추가데미지	1타추가데미지%	2타추가데미지	2타추가데미지%	3타추가데미지	3타추가데미지%	3타범위형태	3타범위	3타발동시간	공격성공증가	블록성공증가	공격속도증가	방어력증가	마법방어력증가	크리티컬보너스	3타방어력무시확률	3타관통발생확률	3타관통거리	3타스턴발생확률	3타스턴시간	3타녹백발생확률	3타녹백거리	3타다운발생확률	딜레이발생확률감소	3타딜레이발생확률	HP흡수	HP%흡수	MP흡수	MP%흡수	최대마리적용수	
StyleCode	StyleClassCode	StyleName	StyleNCode	StyleDescCode	SkillAttribute	StyleImage	RequireLV	StyleLV	MaxLV	OverLV	OverStat1Class	OverStat1	OverStat2Class	OverStat2	RequireSkillPoint	ClassDefine	WeaponDefine	AttType	AttRange	MoveAttack	StyleCheck	CodeFirst	CodeSecond	CodeThird	CodeBack	TimeFirst	TimeSecond	TimeThird	AddDamage1	DamagePercent1	AddDamage2	DamagePercent2	AddDamage3	DamagePercent3	AttRangeform	StyleArea	ThirdDelay	AttackRate	AvoidRate	AttSpeedIncrease	DefenceAdd	MagicDefenceAdd	CriticalBonus	DefenceIgnore	PierceRate	PierceRange	StunRate	StunTime	KnockBackRate	KnockBackRange	DownRate	DelayReduce	DelayOccur	HPAbsorb	HPAbsorbPer	MPAbsorb	MPAbsorbPer	MaxTargetNo	FieldEnd
60019	60011	발터의디펜스	25101	28101	409	35101	80	9	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S201	S203	S205	S206	733 	767 	833 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.47	0	0	18 	90	180	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60020	60011	발터의디펜스	25101	28101	409	35101	90	10	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S201	S203	S205	S206	733 	767 	833 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.47	0	0	20 	100	200	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60021	60021	헥스터의넉백	25102	28102	409	35102	1	1	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S207	S209	S211	S212	667 	667 	1000 	0	0.01 	0	0.01 	0	0.03 	3	1.5	0.74	0	0	0 	0	0	0	0	0.00 	0	0	0	0.50 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60022	60021	헥스터의넉백	25102	28102	409	35102	10	2	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S207	S209	S211	S212	667 	667 	1000 	0	0.02 	0	0.02 	0	0.06 	3	1.5	0.74	0	0	0 	0	0	0	0	0.00 	0	0	0	0.55 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60023	60021	헥스터의넉백	25102	28102	409	35102	20	3	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S207	S209	S211	S212	667 	667 	1000 	0	0.03 	0	0.03 	0	0.09 	3	1.5	0.74	0	0	0 	0	0	0	0	0.00 	0	0	0	0.60 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60024	60021	헥스터의넉백	25102	28102	409	35102	30	4	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S207	S209	S211	S212	667 	667 	1000 	0	0.04 	0	0.04 	0	0.12 	3	1.5	0.74	0	0	0 	0	0	0	0	0.00 	0	0	0	0.65 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60025	60021	헥스터의넉백	25102	28102	409	35102	40	5	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S207	S209	S211	S212	667 	667 	1000 	0	0.05 	0	0.05 	0	0.15 	3	1.5	0.74	0	0	0 	0	0	0	0	0.00 	0	0	0	0.70 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60026	60021	헥스터의넉백	25102	28102	409	35102	50	6	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S207	S209	S211	S212	667 	667 	1000 	0	0.06 	0	0.06 	0	0.18 	3	1.5	0.74	0	0	0 	0	0	0	0	0.00 	0	0	0	0.75 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60027	60021	헥스터의넉백	25102	28102	409	35102	60	7	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S207	S209	S211	S212	667 	667 	1000 	0	0.07 	0	0.07 	0	0.21 	3	1.5	0.74	0	0	0 	0	0	0	0	0.00 	0	0	0	0.80 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60028	60021	헥스터의넉백	25102	28102	409	35102	70	8	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S207	S209	S211	S212	667 	667 	1000 	0	0.08 	0	0.08 	0	0.24 	3	1.5	0.74	0	0	0 	0	0	0	0	0.00 	0	0	0	0.85 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60029	60021	헥스터의넉백	25102	28102	409	35102	80	9	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S207	S209	S211	S212	667 	667 	1000 	0	0.09 	0	0.09 	0	0.27 	3	1.5	0.74	0	0	0 	0	0	0	0	0.00 	0	0	0	0.90 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60030	60021	헥스터의넉백	25102	28102	409	35102	90	10	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S207	S209	S211	S212	667 	667 	1000 	0	0.10 	0	0.10 	0	0.30 	3	1.5	0.74	0	0	0 	0	0	0	0	0.00 	0	0	0	1.00 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60031	60031	루드빅의스턴	25103	28103	409	35103	1	1	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S213	S215	S217	S218	667 	567 	933 	0	0.00 	0	0.00 	0	0.01 	1	0	0.63	0	0	0 	0	0	0	0	0.00 	0	0.25 	3000	0	0	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60032	60031	루드빅의스턴	25103	28103	409	35103	10	2	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S213	S215	S217	S218	667 	567 	933 	0	0.00 	0	0.00 	0	0.02 	1	0	0.63	0	0	0 	0	0	0	0	0.00 	0	0.28 	3000	0	0	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60033	60031	루드빅의스턴	25103	28103	409	35103	20	3	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S213	S215	S217	S218	667 	567 	933 	0	0.00 	0	0.00 	0	0.03 	1	0	0.63	0	0	0 	0	0	0	0	0.00 	0	0.30 	3000	0	0	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60034	60031	루드빅의스턴	25103	28103	409	35103	30	4	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S213	S215	S217	S218	667 	567 	933 	0	0.00 	0	0.00 	0	0.04 	1	0	0.63	0	0	0 	0	0	0	0	0.00 	0	0.33 	3000	0	0	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60035	60031	루드빅의스턴	25103	28103	409	35103	40	5	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S213	S215	S217	S218	667 	567 	933 	0	0.00 	0	0.00 	0	0.05 	1	0	0.63	0	0	0 	0	0	0	0	0.00 	0	0.35 	3000	0	0	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60036	60031	루드빅의스턴	25103	28103	409	35103	50	6	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S213	S215	S217	S218	667 	567 	933 	0	0.00 	0	0.00 	0	0.06 	1	0	0.63	0	0	0 	0	0	0	0	0.00 	0	0.38 	3000	0	0	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60037	60031	루드빅의스턴	25103	28103	409	35103	60	7	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S213	S215	S217	S218	667 	567 	933 	0	0.00 	0	0.00 	0	0.07 	1	0	0.63	0	0	0 	0	0	0	0	0.00 	0	0.40 	3000	0	0	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60038	60031	루드빅의스턴	25103	28103	409	35103	70	8	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S213	S215	S217	S218	667 	567 	933 	0	0.00 	0	0.00 	0	0.08 	1	0	0.63	0	0	0 	0	0	0	0	0.00 	0	0.43 	3000	0	0	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60039	60031	루드빅의스턴	25103	28103	409	35103	80	9	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S213	S215	S217	S218	667 	567 	933 	0	0.00 	0	0.00 	0	0.09 	1	0	0.63	0	0	0 	0	0	0	0	0.00 	0	0.45 	3000	0	0	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60040	60031	루드빅의스턴	25103	28103	409	35103	90	10	10	0	0	0	0	0	1	1	2	2	2.5 	1 	1 	S213	S215	S217	S218	667 	567 	933 	0	0.00 	0	0.00 	0	0.10 	1	0	0.63	0	0	0 	0	0	0	0	0.00 	0	0.50 	3000	0	0	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60100	60100	버서크노멀	25150	28150	409	35150	0	0	0	0	0	0	0	0	0	1	1	3	2.5 	1 	0 	A101	A102	zzzz	zzzz	667 	833 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60101	60101	휴즈의브레이커	25151	28151	409	35151	1	1	10	0	0	0	0	0	0	1	1	3	2.5 	1 	1 	S107	S109	S111	S112	667 	667 	1000 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.62	0	0	0 	0	0	0	0.10 	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60102	60101	휴즈의브레이커	25151	28151	409	35151	10	2	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S107	S109	S111	S112	667 	667 	1000 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.62	0	0	0 	0	0	0	0.20 	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60103	60101	휴즈의브레이커	25151	28151	409	35151	20	3	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S107	S109	S111	S112	667 	667 	1000 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.62	0	0	0 	0	0	0	0.30 	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60104	60101	휴즈의브레이커	25151	28151	409	35151	30	4	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S107	S109	S111	S112	667 	667 	1000 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.62	0	0	0 	0	0	0	0.40 	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60105	60101	휴즈의브레이커	25151	28151	409	35151	40	5	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S107	S109	S111	S112	667 	667 	1000 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.62	0	0	0 	0	0	0	0.50 	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60106	60101	휴즈의브레이커	25151	28151	409	35151	50	6	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S107	S109	S111	S112	667 	667 	1000 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.62	0	0	0 	0	0	0	0.60 	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60107	60101	휴즈의브레이커	25151	28151	409	35151	60	7	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S107	S109	S111	S112	667 	667 	1000 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.62	0	0	0 	0	0	0	0.70 	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60108	60101	휴즈의브레이커	25151	28151	409	35151	70	8	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S107	S109	S111	S112	667 	667 	1000 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.62	0	0	0 	0	0	0	0.80 	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60109	60101	휴즈의브레이커	25151	28151	409	35151	80	9	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S107	S109	S111	S112	667 	667 	1000 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.62	0	0	0 	0	0	0	0.90 	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60110	60101	휴즈의브레이커	25151	28151	409	35151	90	10	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S107	S109	S111	S112	667 	667 	1000 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.62	0	0	0 	0	0	0	1.00 	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60111	60111	헥스터의넉백	25152	28152	409	35152	1	1	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1	S113	S115	S117	S118	500 	667 	1500 	0	0.01 	0	0.01 	0	0.03 	3	1.5	0.71	0	0	0 	0	0	0	0	0.00 	0	0.00 	0	0.50 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60112	60111	헥스터의넉백	25152	28152	409	35152	10	2	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S113	S115	S117	S118	500 	667 	1500 	0	0.02 	0	0.02 	0	0.06 	3	1.5	0.71	0	0	0 	0	0	0	0	0.00 	0	0.00 	0	0.55 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60113	60111	헥스터의넉백	25152	28152	409	35152	20	3	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S113	S115	S117	S118	500 	667 	1500 	0	0.03 	0	0.03 	0	0.09 	3	1.5	0.71	0	0	0 	0	0	0	0	0.00 	0	0.00 	0	0.60 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60114	60111	헥스터의넉백	25152	28152	409	35152	30	4	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S113	S115	S117	S118	500 	667 	1500 	0	0.04 	0	0.04 	0	0.12 	3	1.5	0.71	0	0	0 	0	0	0	0	0.00 	0	0.00 	0	0.65 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60115	60111	헥스터의넉백	25152	28152	409	35152	40	5	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S113	S115	S117	S118	500 	667 	1500 	0	0.05 	0	0.05 	0	0.15 	3	1.5	0.71	0	0	0 	0	0	0	0	0.00 	0	0.00 	0	0.70 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60116	60111	헥스터의넉백	25152	28152	409	35152	50	6	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S113	S115	S117	S118	500 	667 	1500 	0	0.06 	0	0.06 	0	0.18 	3	1.5	0.71	0	0	0 	0	0	0	0	0.00 	0	0.00 	0	0.75 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60117	60111	헥스터의넉백	25152	28152	409	35152	60	7	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S113	S115	S117	S118	500 	667 	1500 	0	0.07 	0	0.07 	0	0.21 	3	1.5	0.71	0	0	0 	0	0	0	0	0.00 	0	0.00 	0	0.80 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60118	60111	헥스터의넉백	25152	28152	409	35152	70	8	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S113	S115	S117	S118	500 	667 	1500 	0	0.08 	0	0.08 	0	0.24 	3	1.5	0.71	0	0	0 	0	0	0	0	0.00 	0	0.00 	0	0.85 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60119	60111	헥스터의넉백	25152	28152	409	35152	80	9	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S113	S115	S117	S118	500 	667 	1500 	0	0.09 	0	0.09 	0	0.27 	3	1.5	0.71	0	0	0 	0	0	0	0	0.00 	0	0.00 	0	0.90 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60120	60111	헥스터의넉백	25152	28152	409	35152	90	10	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1 	S113	S115	S117	S118	500 	667 	1500 	0	0.10 	0	0.10 	0	0.30 	3	1.5	0.71	0	0	0 	0	0	0	0	0.00 	0	0.00 	0	1.00 	3.50 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	6	
60121	60121	롤랜드의다운	25153	28153	409	35153	1	1	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1	S101	S103	S105	S106	833 	833 	667 	0	0.00 	0	0.00 	0	0.01 	1	0	0.85	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.14 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60122	60121	롤랜드의다운	25153	28153	409	35153	10	2	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1	S101	S103	S105	S106	833 	833 	667 	0	0.00 	0	0.00 	0	0.02 	1	0	0.85	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.18 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60123	60121	롤랜드의다운	25153	28153	409	35153	20	3	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1	S101	S103	S105	S106	833 	833 	667 	0	0.00 	0	0.00 	0	0.03 	1	0	0.85	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.22 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60124	60121	롤랜드의다운	25153	28153	409	35153	30	4	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1	S101	S103	S105	S106	833 	833 	667 	0	0.00 	0	0.00 	0	0.04 	1	0	0.85	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.26 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60125	60121	롤랜드의다운	25153	28153	409	35153	40	5	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1	S101	S103	S105	S106	833 	833 	667 	0	0.00 	0	0.00 	0	0.05 	1	0	0.85	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.30 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60126	60121	롤랜드의다운	25153	28153	409	35153	50	6	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1	S101	S103	S105	S106	833 	833 	667 	0	0.00 	0	0.00 	0	0.06 	1	0	0.85	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.34 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60127	60121	롤랜드의다운	25153	28153	409	35153	60	7	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1	S101	S103	S105	S106	833 	833 	667 	0	0.00 	0	0.00 	0	0.07 	1	0	0.85	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.38 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60128	60121	롤랜드의다운	25153	28153	409	35153	70	8	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1	S101	S103	S105	S106	833 	833 	667 	0	0.00 	0	0.00 	0	0.08 	1	0	0.85	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.42 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60129	60121	롤랜드의다운	25153	28153	409	35153	80	9	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1	S101	S103	S105	S106	833 	833 	667 	0	0.00 	0	0.00 	0	0.09 	1	0	0.85	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.46 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60130	60121 	롤랜드의다운	25153	28153	409	35153	90	10	10	0	0	0	0	0	1	1	1	3	2.5 	1 	1	S101	S103	S105	S106	833 	833 	667 	0	0.00 	0	0.00 	0	0.10 	1	0	0.85	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.50 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60199	60199	주먹질	25154	0	409	0	0	0	0	0	0	0	0	0	0	2	13	2	2.5 	1 	0 	A001	A002	zzzz	zzzz	528 	700 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60200	60200	이도류노멀	25600	28600	409	35600	0	0	0	0	0	0	0	0	0	2	3	2	2.5 	1 	0	A201	A203	zzzz	zzzz	533 	533 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60201	60201	레스토르의스피드	25601	28601	409	35601	1	1	10	0	0	0	0	0	0	2	3	2	2.5 	1 	1 	S201	S203	S205	S206	367 	467 	533 	0	0.00 	0	0.00 	0	0.00 	1	0	0.57	0	0	1 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
