//		행	21	155		파라미터						제한값									
//	맵포탈스크립트작성	열	1	16		bMapType	맵타입		0 : 필드			bMin_Level	최소레벨제한	0~255		bMin_Level<유저레벨<bMax_Level 이여야 입장가능					
//	작성자 	김태현							1 : 미션							0 값인 경우 레벨제한 체크하지 않음					
//	수정자	김준호							(헌팅/PvP는 사용불가)			bMax_Level	최대레벨제한	0~255		bMin_Level<유저레벨>bMax_Level 이여야 입장가능					
//	수정날짜	09.2.25														0 값인 경우 레벨제한 체크하지 않음					
//	Version 1.0.0.4					bMoveType	이동타입		0: 포탈이용												
//									1: NPC이용			wMissionCode	미션제한	0~65535		해당 미션코드를 클리어 해야지만 맵에 진입가능					
//									2: 웨이포인트							0 값인 경우 미션제한 체크하지 않음					
//												wQuestCode	퀘스트제한	0~65535		해당 퀘스트코드를 클리어해야지만 맵에 진입가능					
//						sAreaFromID	이동되는 영역ID		Field.txt 참조							0 값인 경우 퀘스트제한 체크하지 않음					
//						sPortalID	현재필드의포탈오브젝트ID		텍스트값												
//						wFieldTo	오브젝트클릭시이동할필드		Field.txt 참조			사용료									
//						sAreaToID	이동될 영역ID					dHeim	맵진입시통행료	0~Max		맵 이동시 금액 만큼 소비					
//																0 인 경우 하임 소비 하지 않음					
//						wWorldFrom	현재필드를 참조할 월드.txt 의 코드값 참조					dWaste_Item	맵진입시아이템소비	0~65535		맵 이동시 해당 코드의 아이템 소비					
//						wWorldTo	넘어갈필드를 참조할 월드.txt 의 코드값 참조									0 인 경우 아이템 소비 하지 않음					
//	1																				
//										제한값							사용료				
//	인덱스	맵타입	이동타입	월드코드	현재필드	필드의영역ID	이동필드월드참조	넘어가는필드	넘어가는필드의영역ID	최소레벨제한	최대레벨제한	미션제한	퀘스트제한	아이템제한	보유개수	아이템소비여부	통행료				
	wIndex	bMapType	bMoveType	wWorldFrom	wFieldFrom	sAreaFromID	wWorldTo	wFieldTo	sAreaToID	bMin_Level	bMax_Level	wMissionCode	wQuestCode	wItemCode	bItemNum	dWaste_Item	dHeim	FieldEnd			
	30316	0	0	54041	54041	OUT1	54021	54021	ENT2	55	135	0	0	0	0	0	0		//	피의분화구	울부짓는골짜기
	30317	0	0	54041	54041	OUT3	55061	55061	ENT6	75	135	0	0	0	0	0	0		//	피의분화구	고통의묘지
	30318	0	0	55061	55061	OUT6	54041	54041	ENT3	55	135	0	0	0	0	0	0		//	고통의묘지	피의분화구
	30319	1	0	54001	54001	MP01	18	23	NULL	60	135	18	522	0	0	0	0		//	붉은용암의계곡	추격의실마리(미션)
	30320	1	0	54021	54021	MP01	19	11	NULL	60	135	19	538	0	0	0	0		//	울부짓는골짜기	용족수장구출(미션)
	30321	1	0	54041	54041	MP01	16	10	NULL	60	135	16	553	0	0	0	0		//	피의분화구	용족의계곡(미션)
	30322	1	0	54081	54081	MP01	17	10	NULL	60	135	17	511	0	0	0	0		//	카르완의분화구	계곡입구정찰(미션)
//	아이올트 공동묘지																				
	30401	0	0	55061	55061	OUT2	55001	55001	ENT1	75	135	0	0	0	0	0	0		//	고통의묘지	허물어진성
	30402	0	0	55001	55001	OUT1	55061	55061	ENT2	75	135	0	0	0	0	0	0		//	허물어진성	고통의묘지
	30403	0	0	55001	55001	OUT2	55021	55021	ENT1	75	135	0	0	0	0	0	0		//	허물어진성	사교의지하제단
	30404	0	0	55021	55021	OUT1	55001	55001	ENT2	75	135	0	0	0	0	0	0		//	사교의지하제단	허물어진성
	30405	0	0	55021	55021	OUT3	55041	55041	ENT2	75	135	0	0	0	0	0	0		//	사교의지하제단	저주받은석실외부
	30406	0	0	55021	55021	OUT2	55081	55081	ENT0	75	135	0	0	0	0	0	0		//	사교의지하제단	사라진혼령의감옥외부
	30407	0	0	55041	55041	OUT1	55101	55101	ENT3	75	135	0	0	0	0	0	0		//	저주받은석실외부	저주받은석실내부
	30408	0	0	55041	55041	OUT3	55101	55101	ENT2	75	135	0	0	0	0	0	0		//	저주받은석실외부	저주받은석실내부
	30409	0	0	55041	55041	OUT4	55101	55101	ENT1	75	135	0	0	0	0	0	0		//	저주받은석실외부	저주받은석실내부
	30410	0	0	55041	55041	OUT2	55021	55021	ENT3	75	135	0	0	0	0	0	0		//	저주받은석실외부	사교의지하제단
	30411	0	0	55101	55101	OUT2	55041	55041	ENT3	75	135	0	0	0	0	0	0		//	저주받은석실내부	저주받은석실외부
	30412	0	0	55101	55101	OUT1	55041	55041	ENT4	75	135	0	0	0	0	0	0		//	저주받은석실내부	저주받은석실외부
	30413	0	0	55101	55101	OUT3	55041	55041	ENT1	75	135	0	0	0	0	0	0		//	저주받은석실내부	저주받은석실외부
	30414	0	0	55101	55101	OUT4	55081	55081	ENT9	75	135	0	0	0	0	0	0		//	저주받은석실내부	사라진혼령의감옥외부
	30415	0	0	55081	55081	OUT1	55121	55121	ENT1	75	135	0	0	0	0	0	0		//	사라진혼령의감옥외부	사라진혼령의감옥내부
	30416	0	0	55081	55081	OUT2	55121	55121	ENT2	75	135	0	0	0	0	0	0		//	사라진혼령의감옥외부	사라진혼령의감옥내부
	30417	0	0	55081	55081	OUT7	55121	55121	ENT7	75	135	0	0	0	0	0	0		//	사라진혼령의감옥외부	사라진혼령의감옥내부
	30418	0	0	55081	55081	OUT3	55121	55121	ENT3	75	135	0	0	0	0	0	0		//	사라진혼령의감옥외부	사라진혼령의감옥내부
	30419	0	0	55081	55081	OUT4	55121	55121	ENT4	75	135	0	0	0	0	0	0		//	사라진혼령의감옥외부	사라진혼령의감옥내부
	30420	0	0	55081	55081	OUT5	55121	55121	ENT5	75	135	0	0	0	0	0	0		//	사라진혼령의감옥외부	사라진혼령의감옥내부
	30421	0	0	55081	55081	OUT9	55101	55101	ENT4	75	135	0	0	0	0	0	0		//	사라진혼령의감옥외부	저주받은석실내부
//	30422	0	0	55081	55081	OUT8	55061	55061	ENT3	75	135	0	0	0	0	0	0		//	사라진혼령의감옥외부	고통의묘지
//	30423	0	0	55081	55081	OUT6	55061	55061	ENT4	75	135	0	0	0	0	0	0		//	사라진혼령의감옥외부	고통의묘지
	30424	0	0	55081	55081	OUT0	55021	55021	ENT2	75	135	0	0	0	0	0	0		//	사라진혼령의감옥외부	사교의지하제단
	30425	0	0	55121	55121	OUT1	55081	55081	ENT1	75	135	0	0	0	0	0	0		//	사라진혼령의감옥내부	사라진혼령의감옥외부
	30426	0	0	55121	55121	OUT2	55081	55081	ENT2	75	135	0	0	0	0	0	0		//	사라진혼령의감옥내부	사라진혼령의감옥외부
	30427	0	0	55121	55121	OUT7	55081	55081	ENT7	75	135	0	0	0	0	0	0		//	사라진혼령의감옥내부	사라진혼령의감옥외부
	30428	0	0	55121	55121	OUT3	55081	55081	ENT3	75	135	0	0	0	0	0	0		//	사라진혼령의감옥내부	사라진혼령의감옥외부
	30429	0	0	55121	55121	OUT4	55081	55081	ENT4	75	135	0	0	0	0	0	0		//	사라진혼령의감옥내부	사라진혼령의감옥외부
	30430	0	0	55121	55121	OUT5	55081	55081	ENT5	75	135	0	0	0	0	0	0		//	사라진혼령의감옥내부	사라진혼령의감옥외부
//	30431	0	0	55061	55061	OUT3	55081	55081	ENT8	75	135	0	0	0	0	0	0		//	고통의묘지	사라진혼령의감옥외부
//	30432	0	0	55061	55061	OUT4	55081	55081	ENT6	75	135	0	0	0	0	0	0		//	고통의묘지	사라진혼령의감옥외부
	30433	1	0	55061	55061	MP01	22	106	NULL	80	135	22	571	0	0	0	0		//	고통의묘지	대제례추적(미션)
	30434	1	0	55061	55061	MP02	23	513	NULL	80	135	23	583	0	0	0	0		//	고통의묘지	숨겨진위험(미션)
	30435	1	0	55021	55021	MP01	24	103	NULL	80	135	24	605	0	0	0	0		//	사교의지하제단	암흑의전당을찾아서(미션)
	30436	1	0	55101	55101	MP01	25	108	NULL	80	135	25	617	0	0	0	0		//	저주받은석실외부	어둠의제단(미션)
	30437	1	0	55121	55121	MP01	21	113	NULL	80	135	21	631	0	0	0	0		//	사라진혼령의감옥외부	아이올트공동묘지(미션)
	30438	0	0	55061	55061	OUT7	10004	10004	ENT1	100	135	0	0	0	0	0	0		//	고통의묘지	오크라
	30439	0	0	10004	10004	OUT1	55061	55061	ENT7	100	135	0	0	0	0	0	0		//	오크라	고통의묘지
//	헬론의 성																				
	30501	0	0	10004	10004	OUT2	56001	56001	ENT1	100	135	0	0	0	0	0	0		//	오크라	네벨의늪지대
	30502	0	0	56001	56001	OUT1	10004	10004	ENT2	100	135	0	0	0	0	0	0		//	오크라	네벨의늪지대
	30503	0	0	56001	56001	OUT2	56021	56021	ENT1	100	135	0	0	0	0	0	0		//	네벨의늪지대	브론즈문시티
	30504	0	0	56021	56021	OUT1	56001	56001	ENT2	100	135	0	0	0	0	0	0		//	브론즈문시티	네벨의늪지대
	30505	1	0	56001	56001	MP01	27	118	NULL	100	135	27	1947	0	0	0	0		//	네벨의늪지대	오염된성수(미션)
	30506	0	0	56021	56021	OUT2	56041	56041	ENT1	100	135	0	0	0	0	0	0		//	브론즈문시티	헬론의성지하층
	30507	0	0	56041	56041	OUT1	56021	56021	ENT2	100	135	0	0	0	0	0	0		//	헬론의성지하층	브론즈문시티
	30508	0	0	56041	56041	OUT2	56061	56061	ENT1	100	135	0	0	0	0	0	0		//	헬론의성지하층	헬론의성1층
	30509	0	0	56061	56061	OUT1	56041	56041	ENT2	100	135	0	0	0	0	0	0		//	헬론의성1층	헬론의성지하층
	30510	1	0	56061	56061	MP01	28	119	NULL	110	135	28	2017	0	0	0	0		//	헬론의성지하층	검은에테르의정체(미션서브2)
	30511	0	0	56061	56061	OUT2	56081	56081	ENT1	100	135	0	0	0	0	0	0		//	헬론의성1층	헬론의성중층
	30512	0	0	56061	56061	OUT3	56081	56081	ENT2	100	135	0	0	0	0	0	0		//	헬론의성1층	헬론의성중층
	30513	0	0	56081	56081	OUT1	56101	56101	ENT1	100	135	0	0	0	0	0	0		//	헬론의성중층	헬론의성상층
	30514	1	0	56081	56081	MP01	29	120	NULL	115	135	29	2038	0	0	0	0		//	헬론의성중층	절망의부활의식(서브3)
	30515	0	0	56081	56081	OUT2	56061	56061	ENT2	100	135	0	0	0	0	0	0		//	헬론의성중층	헬론의성1층
	30516	0	0	56081	56081	OUT3	56061	56061	ENT3	100	135	0	0	0	0	0	0		//	헬론의성중층	헬론의성1층
	30517	0	0	56101	56101	OUT1	56081	56081	ENT3	100	135	0	0	0	0	0	0		//	헬론의성상층	헬론의성중층
	30518	1	0	56101	56101	MP01	26	122	NULL	120	135	26	2096	0	0	0	0		//	헬론의성상층	헬론의성(메인미션)
//	붕괴된에텔레인																				
	30519	1	0	10003	10003	MP01	5	34	NULL	120	135	26	2106	0	0	0	0		//	에텔레인	붕괴된에텔레인
//	NPC 간 필드 이동시																				
	40001	0	1	10001	10001	NULL	10002	10002	ENT1	1	135	0	0	0	0	0	1000		//	트링겔	벨트헨
	40002	0	1	10002	10002	NULL	10001	10001	NULL	1	135	0	0	0	0	0	1000		//	벨트헨	트링겔
	40003	0	1	10001	10001	NULL	10003	10003	NULL	1	135	0	0	0	0	0	6000		//	트링겔	에텔레인
	40004	0	1	10002	10002	NULL	10003	10003	NULL	1	135	0	0	0	0	0	6000		//	벨트헨	에텔레인
	40005	0	1	10003	10003	NULL	10001	10001	NULL	1	135	0	0	0	0	0	6000		//	에텔레인	트링겔
	40006	0	1	10003	10003	NULL	10002	10002	NULL	1	135	0	0	0	0	0	6000		//	에텔레인	벨트헨
	40007	0	1	10001	10001	NULL	20005	20005	NULL	1	135	0	0	0	0	0	1000		//	트링겔	연금술사의길
	40008	0	1	10002	10002	NULL	20005	20005	NULL	1	135	0	0	0	0	0	1000		//	트링겔	연금술사의길
	40009	0	1	20206	20206	NULL	10001	10001	NULL	1	135	0	0	0	0	0	0		//	튜터리얼	트링겔
	40010	0	1	20206	20206	NULL	10002	10002	NULL	1	135	0	0	0	0	0	0		//	튜터리얼	벨트헨
//	웨이포인트																요금계산			출발지	도착지
	1	0	2	10001	10001	NULL	10002	10002	WP01	1	135	0	0	0	0	0	3000		//	트링겔	벨트헨
	2	0	2	10001	10001	NULL	10003	10003	WP01	35	135	0	0	0	0	0	4000		//	트링겔	에텔레인
	3	0	2	10001	10001	NULL	10004	10004	WP01	100	135	0	0	0	0	0	33000		//	트링겔	오크라
	4	0	2	10001	10001	NULL	20004	20004	WP01	1	135	0	0	0	0	0	3000		//	트링겔	자피르호수
	5	0	2	10001	10001	NULL	20005	20005	WP01	15	135	0	0	0	0	0	2000		//	트링겔	연금술사의길
	6	0	2	10001	10001	NULL	20104	20104	WP01	25	135	0	0	0	0	0	2000		//	트링겔	미완의기념관
	7	0	2	10001	10001	NULL	20105	20105	WP01	30	135	0	0	0	0	0	3000		//	트링겔	미로의지하수로
	8	0	2	10001	10001	NULL	20204	20204	WP01	45	135	0	0	0	0	0	8000		//	트링겔	요새의성역
	9	0	2	10001	10001	NULL	20205	20205	WP01	50	135	0	0	0	0	0	13000		//	트링겔	페허의탑
	10	0	2	10001	10001	NULL	54061	54061	WP01	55	135	0	0	0	0	0	18000		//	트링겔	고룡의무덤
	11	0	2	10001	10001	NULL	54081	54081	WP01	60	135	0	0	0	0	0	23000		//	트링겔	카르완의분화구
	12	0	2	10001	10001	NULL	54041	54041	WP01	65	135	0	0	0	0	0	28000		//	트링겔	피의분화구
	13	0	2	10001	10001	NULL	55061	55061	WP01	75	135	0	0	0	0	0	33000		//	트링겔	고통의묘지
	14	0	2	10001	10001	NULL	55081	55081	WP01	90	135	0	0	0	0	0	38000		//	트링겔	사라진혼령의감옥
	15	0	2	10001	10001	NULL	56021	56021	WP01	100	135	0	0	0	0	0	43000		//	트링겔	브론즈문시티
	16	0	2	10001	10001	NULL	56081	56081	WP01	110	135	0	0	0	0	0	53000		//	트링겡	헬론의성중층
	101	0	2	10002	10002	NULL	10001	10001	WP01	20	135	0	0	0	0	0	3000		//	벨트헨	트링겔
	102	0	2	10002	10002	NULL	10003	10003	WP01	35	135	0	0	0	0	0	6000		//	벨트헨	에텔레인
	103	0	2	10002	10002	NULL	10004	10004	WP01	100	135	0	0	0	0	0	35000		//	벨트헨	오크라
	104	0	2	10002	10002	NULL	20004	20004	WP01	1	135	0	0	0	0	0	1000		//	벨트헨	자피르호수
	105	0	2	10002	10002	NULL	20005	20005	WP01	15	135	0	0	0	0	0	2000		//	벨트헨	연금술사의길
	106	0	2	10002	10002	NULL	20104	20104	WP01	25	135	0	0	0	0	0	4000		//	벨트헨	미완의기념관
	107	0	2	10002	10002	NULL	20105	20105	WP01	30	135	0	0	0	0	0	5000		//	벨트헨	미로의지하수로
	108	0	2	10002	10002	NULL	20204	20204	WP01	45	135	0	0	0	0	0	10000		//	벨트헨	요새의성역
	109	0	2	10002	10002	NULL	20205	20205	WP01	50	135	0	0	0	0	0	15000		//	벨트헨	페허의탑
	110	0	2	10002	10002	NULL	54061	54061	WP01	55	135	0	0	0	0	0	20000		//	벨트헨	고룡의무덤
	111	0	2	10002	10002	NULL	54081	54081	WP01	60	135	0	0	0	0	0	25000		//	벨트헨	카르완의분화구
	112	0	2	10002	10002	NULL	54041	54041	WP01	65	135	0	0	0	0	0	30000		//	벨트헨	피의분화구
