//세트 아이템 옵션 설정		1	아폴로	6	파괴신 아폴로									1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로							1	아폴로	6	파괴신 아폴로																																									
//업데이트	2009년 2월 25일 수요일	2	아레스	7	저주의 아레스									2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스							2	아레스	7	저주의 아레스																																									
//최종작성자	강경란	3	아르테미	8	죽음의 아르테미스									3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스							3	아르테미	8	죽음의 아르테미스																																									
//Version	1.0.1.6	4	니케	9	타락한 니케									4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케							4	니케	9	타락한 니케																																									
//2.1		5	헤르메스	10	탐욕의 헤르메스									5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스							5	헤르메스	10	탐욕의 헤르메스																																									
//계열				갑옷	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			프로텍터	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			헬멧	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			바지	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			부츠	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			장갑	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			벨트	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			셔츠	2개 이상 활성화 옵션			4개 이상 활성화 옵션			6개 이상 활성화 옵션			Full option																			Additional option																	"//본넘버: 몸통=2, 오른손=4, 왼손=5, 가슴=11, 바닥=12"								
//파라메타 업데이트 버전 정보		812(TypeAdd)																																																																																																	1002	1002	1002	905	//셋트옵션 달성 후 해당 아아이템 장비 시 아래 추가 옵션 발동																		812	812	812	812	812	817	817	
//설명	세트그룹코드	아이템타입	풀옵션활성화수	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	풀셋이미지변경아이템	아이템코트	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	효과코드1	본넘버1	효과코드2	본넘버2	효과코드3	본넘버3	효과코드4	본넘버4	
	wSetGCode	bysubType	bFulloptionNum	EqPos1	OptionKind1_1	useType1_1	Option1_1	OptionKind2_1	useType2_1	Option2_1	OptionKind3_1	useType3_1	Option3_1	EqPos2	OptionKind1_2	useType1_2	Option1_2	OptionKind2_2	useType2_2	Option2_2	OptionKind3_2	useType3_2	Option3_2	EqPos3	OptionKind1_3	useType1_3	Option1_3	OptionKind2_3	useType2_3	Option2_3	OptionKind3_3	useType3_3	Option3_3	EqPos4	OptionKind1_4	useType1_4	Option1_4	OptionKind2_4	useType2_4	Option2_4	OptionKind3_4	useType3_4	Option3_4	EqPos5	OptionKind1_5	useType1_5	Option1_5	OptionKind2_5	useType2_5	Option2_5	OptionKind3_5	useType3_5	Option3_5	EqPos6	OptionKind1_6	useType1_6	Option1_6	OptionKind2_6	useType2_6	Option2_6	OptionKind3_6	useType3_6	Option3_6	EqPos7	OptionKind1_7	useType1_7	Option1_7	OptionKind2_7	useType2_7	Option2_7	OptionKind3_7	useType3_7	Option3_7	EqPos8	OptionKind1_8	useType1_8	Option1_8	OptionKind2_8	useType2_8	Option2_8	OptionKind3_8	useType3_8	Option3_8	FullOptionKind1	useType1	FullOption1	FullOptionKind2	useType2	FullOption2	FullOptionKind3	useType3	FullOption3	FullOptionKind4	useType4	FullOption4	FullOptionKind5	useType5	FullOption5	FullOptionKind6	useType6	FullOption6	FullSetChangeItemCode	SpecialItemCode	SpecialPos	SpecialOptionKind1	 SpecialuseType1	SpecialOption1	SpecialOptionKind2	 SpecialuseType2	SpecialOption2	SpecialOptionKind3	 SpecialuseType3	SpecialOption3	SpecialOptionKind4	 SpecialuseType4	SpecialOption4	SpecialOptionKind5	 SpecialuseType5	SpecialOption5	sEffect1	btBoneIdx1	sEffect2	btBoneIdx2	sEffect3	btBoneIdx3	sEffect4	btBoneIdx4	FieldEnd
	62	2	8	1	49	1	65	15	2	10	49	1	150	2	47	1	13	2	2	10	57	1	15	3	29	1	150	30	2	10	36	1	15	4	23	1	10	41	2	10	33	1	5	5	24	1	10	14	1	10	59	1	10	6	24	1	10	1	1	15	28	2	15	7	50	1	65	51	2	5	50	1	150	8	28	1	150	42	2	10	35	1	15	14	1	30	51	2	10	60	1	25	30	2	15	61	1	30	93	1	7108	51258	3119	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	M340	2	M341	4	M341	5	M342	1	
	63	2	8	1	49	1	65	15	2	10	49	1	150	2	48	1	13	2	2	10	57	1	15	3	29	1	150	30	2	10	36	1	15	4	27	1	10	41	2	10	33	1	5	5	24	1	10	14	1	10	59	1	10	6	25	1	10	34	2	-15	28	2	15	7	50	1	65	51	2	5	50	1	150	8	28	1	150	42	2	10	35	1	15	14	1	30	51	2	10	60	1	25	30	2	15	61	1	30	93	1	7108	51259	3121	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	M355	2	Null	0	Null	0	M356	1	
	64	2	8	1	49	1	65	15	2	10	49	1	150	2	47	1	13	2	2	10	57	1	15	3	29	1	150	30	2	10	36	1	15	4	26	1	10	41	2	10	33	1	5	5	24	1	10	14	1	10	59	1	10	6	23	1	10	1	1	15	28	2	15	7	50	1	65	51	2	5	50	1	150	8	28	1	150	42	2	10	35	1	15	14	1	30	51	2	10	60	1	25	30	2	15	61	1	30	93	1	7108	51260	3120	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	M350	2	M351	4	M351	5	M352	1	
	65	2	8	1	49	1	65	15	2	10	49	1	150	2	47	1	13	2	2	10	57	1	15	3	29	1	150	30	2	10	36	1	15	4	25	1	10	41	2	10	33	1	5	5	24	1	10	14	1	10	59	1	10	6	23	1	10	1	1	15	28	2	15	7	50	1	65	51	2	5	50	1	150	8	28	1	150	42	2	10	35	1	15	14	1	30	51	2	10	60	1	25	30	2	15	61	1	30	93	1	7108	51261	3122	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	M345	2	M346	4	M346	5	M347	1	
	71	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3118	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	0	0	0	A515	2	m039	4	m039	5	Null	0	
	72	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3119	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	0	0	0	A516	2	m071	12	Null	0	Null	0	
	73	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3121	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	0	0	0	A518	2	Null	0	Null	0	Null	0	
	74	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3120	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	0	0	0	A517	2	m139	11	Null	0	Null	0	
	75	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3122	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	0	0	0	A655	2	A656	4	A656	5	Null	0	
	81	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3118	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	0	0	0	A515	2	m039	4	m039	5	Null	0	
	82	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3119	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	0	0	0	A516	2	m071	12	Null	0	Null	0	
	83	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3121	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	0	0	0	A518	2	Null	0	Null	0	Null	0	
	84	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3120	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	0	0	0	A517	2	m139	11	Null	0	Null	0	
	85	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3122	13	44	5	10	45	5	5	53	5	5	0	0	0	0	0	0	0	0	0	A655	2	A656	4	A656	5	Null	0	
//101~ 럭키아이템 세트효과																																																																																																																																
	11	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m005	2	Null	0	Null	0	Null	0	
	12	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m010	2	Null	0	Null	0	Null	0	
	13	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m015	2	Null	0	Null	0	Null	0	
	14	5	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	93	1	1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m020	2	Null	0	Null	0	Null	0	
