//돈 및 아이템 드롭 율 배율값 설정				index : (1~8 은 돈, 100번대는 아이템)									
//작성자 : 김태현				1 : 1~3배									
//version 0.0.0.1				5: 40~ 60배									
//날짜 :		2006-1-24-1		7 : 400~600 배									
//													
//	몬스터등급	index	드롭양										몬스터마리기준값
//	b_monster_type	b_index	d_drop_amount1	d_drop_amount2	d_drop_amount3	d_drop_amount4	d_drop_amount5	d_drop_amount6	d_drop_amount7	d_drop_amount8	d_drop_amount9	d_drop_amount10	d_drop_standard
//	5	3	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000000
//	5	4	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	1000000
	5	5	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1000000
//	5	6	100	100	100	100	100	100	100	100	100	100	1000000
	5	7	100	100	100	100	100	100	100	100	100	100	1000000
//	5	8	1	1	1	1	1	1	1	1	1	1	1000000
	5	101	7500	7387	7275	7162	7050	6937	6825	6712	6600	6487	1000000
	5	102	16000	15760	15520	15280	15040	14800	14560	14320	14080	13840	1000000
	5	103	24500	24132	23765	23397	23030	22662	22295	21927	21560	21192	1000000
	5	104	33000	32505	32010	31515	31020	30525	30030	29535	29040	28545	1000000
	5	105	41500	40877	40255	39632	39010	38387	37765	37142	36520	35897	1000000
	5	106	50000	49250	48500	47750	47000	46250	45500	44750	44000	43250	1000000
	5	107	35000	34475	33950	33425	32900	32375	31850	31325	30800	30275	1000000
	5	108	20000	19700	19400	19100	18800	18500	18200	17900	17600	17300	1000000
	5	109	15000	14775	14550	14325	14100	13875	13650	13425	13200	12975	1000000
	5	110	5000	4925	4850	4775	4700	4625	4550	4475	4400	4325	1000000
	5	111	2500	2462	2425	2387	2350	2312	2275	2237	2200	2162	1000000
