//아이템타입리스트						
//		0 일반				
//		1 디바인				
//		2 일반 에테리아				
//		3 디바인 에테리아				
//		4 외형				
//	인덱스	타입	인챈트	랭크업		
	ItemTypeIndex	bDivine	Enchant	Grade	FieldEnd	
	10506	0	6	5	//	"인첸트 +6, 등급 5, 일반 아이템"
	10507	0	7	5	//	"인첸트 +7, 등급 5, 일반 아이템"
	10508	0	8	5	//	"인첸트 +8, 등급 5, 일반 아이템"
	10509	0	9	5	//	"인첸트 +9, 등급 5, 일반 아이템"
	10510	0	10	5	//	"인첸트 +10, 등급 5, 일반 아이템"
	10511	0	11	5	//	"인첸트 +11, 등급 5, 일반 아이템"
	10512	0	12	5	//	"인첸트 +12, 등급 5, 일반 아이템"
	10600	0	0	6	//	"인첸트 +0, 등급 6, 일반 아이템"
	10601	0	1	6	//	"인첸트 +1, 등급 6, 일반 아이템"
	10602	0	2	6	//	"인첸트 +2, 등급 6, 일반 아이템"
	10603	0	3	6	//	"인첸트 +3, 등급 6, 일반 아이템"
	10604	0	4	6	//	"인첸트 +4, 등급 6, 일반 아이템"
	10605	0	5	6	//	"인첸트 +5, 등급 6, 일반 아이템"
	10606	0	6	6	//	"인첸트 +6, 등급 6, 일반 아이템"
	10607	0	7	6	//	"인첸트 +7, 등급 6, 일반 아이템"
	10608	0	8	6	//	"인첸트 +8, 등급 6, 일반 아이템"
	10609	0	9	6	//	"인첸트 +9, 등급 6, 일반 아이템"
	10610	0	10	6	//	"인첸트 +10, 등급 6, 일반 아이템"
	10611	0	11	6	//	"인첸트 +11, 등급 6, 일반 아이템"
	10612	0	12	6	//	"인첸트 +12, 등급 6, 일반 아이템"
	10700	0	0	7	//	"인첸트 +0, 등급 7, 일반 아이템"
	10701	0	1	7	//	"인첸트 +1, 등급 7, 일반 아이템"
	10702	0	2	7	//	"인첸트 +2, 등급 7, 일반 아이템"
	10703	0	3	7	//	"인첸트 +3, 등급 7, 일반 아이템"
	10704	0	4	7	//	"인첸트 +4, 등급 7, 일반 아이템"
	10705	0	5	7	//	"인첸트 +5, 등급 7, 일반 아이템"
	10706	0	6	7	//	"인첸트 +6, 등급 7, 일반 아이템"
	10707	0	7	7	//	"인첸트 +7, 등급 7, 일반 아이템"
	10708	0	8	7	//	"인첸트 +8, 등급 7, 일반 아이템"
	10709	0	9	7	//	"인첸트 +9, 등급 7, 일반 아이템"
	10710	0	10	7	//	"인첸트 +10, 등급 7, 일반 아이템"
	10711	0	11	7	//	"인첸트 +11, 등급 7, 일반 아이템"
	10712	0	12	7	//	"인첸트 +12, 등급 7, 일반 아이템"
	10800	0	0	8	//	"인첸트 +0, 등급 8, 일반 아이템"
	10801	0	1	8	//	"인첸트 +1, 등급 8, 일반 아이템"
	10802	0	2	8	//	"인첸트 +2, 등급 8, 일반 아이템"
	10803	0	3	8	//	"인첸트 +3, 등급 8, 일반 아이템"
	10804	0	4	8	//	"인첸트 +4, 등급 8, 일반 아이템"
	10805	0	5	8	//	"인첸트 +5, 등급 8, 일반 아이템"
	10806	0	6	8	//	"인첸트 +6, 등급 8, 일반 아이템"
	10807	0	7	8	//	"인첸트 +7, 등급 8, 일반 아이템"
	10808	0	8	8	//	"인첸트 +8, 등급 8, 일반 아이템"
	10809	0	9	8	//	"인첸트 +9, 등급 8, 일반 아이템"
	10810	0	10	8	//	"인첸트 +10, 등급 8, 일반 아이템"
	10811	0	11	8	//	"인첸트 +11, 등급 8, 일반 아이템"
	10812	0	12	8	//	"인첸트 +12, 등급 8, 일반 아이템"
	10900	0	0	9	//	"인첸트 +0, 등급 9, 일반 아이템"
	10901	0	1	9	//	"인첸트 +1, 등급 9, 일반 아이템"
	10902	0	2	9	//	"인첸트 +2, 등급 9, 일반 아이템"
	10903	0	3	9	//	"인첸트 +3, 등급 9, 일반 아이템"
	10904	0	4	9	//	"인첸트 +4, 등급 9, 일반 아이템"
	10905	0	5	9	//	"인첸트 +5, 등급 9, 일반 아이템"
	10906	0	6	9	//	"인첸트 +6, 등급 9, 일반 아이템"
	10907	0	7	9	//	"인첸트 +7, 등급 9, 일반 아이템"
	10908	0	8	9	//	"인첸트 +8, 등급 9, 일반 아이템"
	10909	0	9	9	//	"인첸트 +9, 등급 9, 일반 아이템"
	10910	0	10	9	//	"인첸트 +10, 등급 9, 일반 아이템"
	10911	0	11	9	//	"인첸트 +11, 등급 9, 일반 아이템"
	10912	0	12	9	//	"인첸트 +12, 등급 9, 일반 아이템"
	20000	1	0	0	//	"인첸트 +0, 등급 0, 디바인 아이템"
	20001	1	1	0	//	"인첸트 +1, 등급 0, 디바인 아이템"
	20002	1	2	0	//	"인첸트 +2, 등급 0, 디바인 아이템"
	20003	1	3	0	//	"인첸트 +3, 등급 0, 디바인 아이템"
	20004	1	4	0	//	"인첸트 +4, 등급 0, 디바인 아이템"
	20005	1	5	0	//	"인첸트 +5, 등급 0, 디바인 아이템"
	20006	1	6	0	//	"인첸트 +6, 등급 0, 디바인 아이템"
	20007	1	7	0	//	"인첸트 +7, 등급 0, 디바인 아이템"
	20008	1	8	0	//	"인첸트 +8, 등급 0, 디바인 아이템"
	20009	1	9	0	//	"인첸트 +9, 등급 0, 디바인 아이템"
	20010	1	10	0	//	"인첸트 +10, 등급 0, 디바인 아이템"
	20011	1	11	0	//	"인첸트 +11, 등급 0, 디바인 아이템"
	20012	1	12	0	//	"인첸트 +12, 등급 0, 디바인 아이템"
	20100	1	0	1	//	"인첸트 +0, 등급 1, 디바인 아이템"
	20101	1	1	1	//	"인첸트 +1, 등급 1, 디바인 아이템"
	20102	1	2	1	//	"인첸트 +2, 등급 1, 디바인 아이템"
	20103	1	3	1	//	"인첸트 +3, 등급 1, 디바인 아이템"
	20104	1	4	1	//	"인첸트 +4, 등급 1, 디바인 아이템"
	20105	1	5	1	//	"인첸트 +5, 등급 1, 디바인 아이템"
	20106	1	6	1	//	"인첸트 +6, 등급 1, 디바인 아이템"
	20107	1	7	1	//	"인첸트 +7, 등급 1, 디바인 아이템"
	20108	1	8	1	//	"인첸트 +8, 등급 1, 디바인 아이템"
	20109	1	9	1	//	"인첸트 +9, 등급 1, 디바인 아이템"
	20110	1	10	1	//	"인첸트 +10, 등급 1, 디바인 아이템"
	20111	1	11	1	//	"인첸트 +11, 등급 1, 디바인 아이템"
	20112	1	12	1	//	"인첸트 +12, 등급 1, 디바인 아이템"
	20200	1	0	2	//	"인첸트 +0, 등급 2, 디바인 아이템"
	20201	1	1	2	//	"인첸트 +1, 등급 2, 디바인 아이템"
	20202	1	2	2	//	"인첸트 +2, 등급 2, 디바인 아이템"
	20203	1	3	2	//	"인첸트 +3, 등급 2, 디바인 아이템"
	20204	1	4	2	//	"인첸트 +4, 등급 2, 디바인 아이템"
	20205	1	5	2	//	"인첸트 +5, 등급 2, 디바인 아이템"
	20206	1	6	2	//	"인첸트 +6, 등급 2, 디바인 아이템"
	20207	1	7	2	//	"인첸트 +7, 등급 2, 디바인 아이템"
	20208	1	8	2	//	"인첸트 +8, 등급 2, 디바인 아이템"
	20209	1	9	2	//	"인첸트 +9, 등급 2, 디바인 아이템"
	20210	1	10	2	//	"인첸트 +10, 등급 2, 디바인 아이템"
	20211	1	11	2	//	"인첸트 +11, 등급 2, 디바인 아이템"
	20212	1	12	2	//	"인첸트 +12, 등급 2, 디바인 아이템"
	20300	1	0	3	//	"인첸트 +0, 등급 3, 디바인 아이템"
	20301	1	1	3	//	"인첸트 +1, 등급 3, 디바인 아이템"
	20302	1	2	3	//	"인첸트 +2, 등급 3, 디바인 아이템"
	20303	1	3	3	//	"인첸트 +3, 등급 3, 디바인 아이템"
	20304	1	4	3	//	"인첸트 +4, 등급 3, 디바인 아이템"
	20305	1	5	3	//	"인첸트 +5, 등급 3, 디바인 아이템"
	20306	1	6	3	//	"인첸트 +6, 등급 3, 디바인 아이템"
	20307	1	7	3	//	"인첸트 +7, 등급 3, 디바인 아이템"
	20308	1	8	3	//	"인첸트 +8, 등급 3, 디바인 아이템"
	20309	1	9	3	//	"인첸트 +9, 등급 3, 디바인 아이템"
	20310	1	10	3	//	"인첸트 +10, 등급 3, 디바인 아이템"
	20311	1	11	3	//	"인첸트 +11, 등급 3, 디바인 아이템"
	20312	1	12	3	//	"인첸트 +12, 등급 3, 디바인 아이템"
	20400	1	0	4	//	"인첸트 +0, 등급 4, 디바인 아이템"
	20401	1	1	4	//	"인첸트 +1, 등급 4, 디바인 아이템"
	20402	1	2	4	//	"인첸트 +2, 등급 4, 디바인 아이템"
	20403	1	3	4	//	"인첸트 +3, 등급 4, 디바인 아이템"
	20404	1	4	4	//	"인첸트 +4, 등급 4, 디바인 아이템"
	20405	1	5	4	//	"인첸트 +5, 등급 4, 디바인 아이템"
	20406	1	6	4	//	"인첸트 +6, 등급 4, 디바인 아이템"
	20407	1	7	4	//	"인첸트 +7, 등급 4, 디바인 아이템"
	20408	1	8	4	//	"인첸트 +8, 등급 4, 디바인 아이템"
	20409	1	9	4	//	"인첸트 +9, 등급 4, 디바인 아이템"
	20410	1	10	4	//	"인첸트 +10, 등급 4, 디바인 아이템"
	20411	1	11	4	//	"인첸트 +11, 등급 4, 디바인 아이템"
	20412	1	12	4	//	"인첸트 +12, 등급 4, 디바인 아이템"
	20500	1	0	5	//	"인첸트 +0, 등급 5, 디바인 아이템"
	20501	1	1	5	//	"인첸트 +1, 등급 5, 디바인 아이템"
	20502	1	2	5	//	"인첸트 +2, 등급 5, 디바인 아이템"
	20503	1	3	5	//	"인첸트 +3, 등급 5, 디바인 아이템"
	20504	1	4	5	//	"인첸트 +4, 등급 5, 디바인 아이템"
	20505	1	5	5	//	"인첸트 +5, 등급 5, 디바인 아이템"
	20506	1	6	5	//	"인첸트 +6, 등급 5, 디바인 아이템"
	20507	1	7	5	//	"인첸트 +7, 등급 5, 디바인 아이템"
	20508	1	8	5	//	"인첸트 +8, 등급 5, 디바인 아이템"
	20509	1	9	5	//	"인첸트 +9, 등급 5, 디바인 아이템"
	20510	1	10	5	//	"인첸트 +10, 등급 5, 디바인 아이템"
	20511	1	11	5	//	"인첸트 +11, 등급 5, 디바인 아이템"
	20512	1	12	5	//	"인첸트 +12, 등급 5, 디바인 아이템"
	20600	1	0	6	//	"인첸트 +0, 등급 6, 디바인 아이템"
	20601	1	1	6	//	"인첸트 +1, 등급 6, 디바인 아이템"
	20602	1	2	6	//	"인첸트 +2, 등급 6, 디바인 아이템"
	20603	1	3	6	//	"인첸트 +3, 등급 6, 디바인 아이템"
	20604	1	4	6	//	"인첸트 +4, 등급 6, 디바인 아이템"
	20605	1	5	6	//	"인첸트 +5, 등급 6, 디바인 아이템"
	20606	1	6	6	//	"인첸트 +6, 등급 6, 디바인 아이템"
	20607	1	7	6	//	"인첸트 +7, 등급 6, 디바인 아이템"
	20608	1	8	6	//	"인첸트 +8, 등급 6, 디바인 아이템"
	20609	1	9	6	//	"인첸트 +9, 등급 6, 디바인 아이템"
	20610	1	10	6	//	"인첸트 +10, 등급 6, 디바인 아이템"
	20611	1	11	6	//	"인첸트 +11, 등급 6, 디바인 아이템"
	20612	1	12	6	//	"인첸트 +12, 등급 6, 디바인 아이템"
	20700	1	0	7	//	"인첸트 +0, 등급 7, 디바인 아이템"
	20701	1	1	7	//	"인첸트 +1, 등급 7, 디바인 아이템"
	20702	1	2	7	//	"인첸트 +2, 등급 7, 디바인 아이템"
	20703	1	3	7	//	"인첸트 +3, 등급 7, 디바인 아이템"
	20704	1	4	7	//	"인첸트 +4, 등급 7, 디바인 아이템"
	20705	1	5	7	//	"인첸트 +5, 등급 7, 디바인 아이템"
	20706	1	6	7	//	"인첸트 +6, 등급 7, 디바인 아이템"
	20707	1	7	7	//	"인첸트 +7, 등급 7, 디바인 아이템"
	20708	1	8	7	//	"인첸트 +8, 등급 7, 디바인 아이템"
	20709	1	9	7	//	"인첸트 +9, 등급 7, 디바인 아이템"
	20710	1	10	7	//	"인첸트 +10, 등급 7, 디바인 아이템"
	20711	1	11	7	//	"인첸트 +11, 등급 7, 디바인 아이템"
	20712	1	12	7	//	"인첸트 +12, 등급 7, 디바인 아이템"
	20800	1	0	8	//	"인첸트 +0, 등급 8, 디바인 아이템"
	20801	1	1	8	//	"인첸트 +1, 등급 8, 디바인 아이템"
	20802	1	2	8	//	"인첸트 +2, 등급 8, 디바인 아이템"
	20803	1	3	8	//	"인첸트 +3, 등급 8, 디바인 아이템"
	20804	1	4	8	//	"인첸트 +4, 등급 8, 디바인 아이템"
	20805	1	5	8	//	"인첸트 +5, 등급 8, 디바인 아이템"
	20806	1	6	8	//	"인첸트 +6, 등급 8, 디바인 아이템"
	20807	1	7	8	//	"인첸트 +7, 등급 8, 디바인 아이템"
	20808	1	8	8	//	"인첸트 +8, 등급 8, 디바인 아이템"
	20809	1	9	8	//	"인첸트 +9, 등급 8, 디바인 아이템"
	20810	1	10	8	//	"인첸트 +10, 등급 8, 디바인 아이템"
	20811	1	11	8	//	"인첸트 +11, 등급 8, 디바인 아이템"
	20812	1	12	8	//	"인첸트 +12, 등급 8, 디바인 아이템"
	20900	1	0	9	//	"인첸트 +0, 등급 9, 디바인 아이템"
	20901	1	1	9	//	"인첸트 +1, 등급 9, 디바인 아이템"
	20902	1	2	9	//	"인첸트 +2, 등급 9, 디바인 아이템"
	20903	1	3	9	//	"인첸트 +3, 등급 9, 디바인 아이템"
	20904	1	4	9	//	"인첸트 +4, 등급 9, 디바인 아이템"
	20905	1	5	9	//	"인첸트 +5, 등급 9, 디바인 아이템"
	20906	1	6	9	//	"인첸트 +6, 등급 9, 디바인 아이템"
	20907	1	7	9	//	"인첸트 +7, 등급 9, 디바인 아이템"
	20908	1	8	9	//	"인첸트 +8, 등급 9, 디바인 아이템"
	20909	1	9	9	//	"인첸트 +9, 등급 9, 디바인 아이템"
	20910	1	10	9	//	"인첸트 +10, 등급 9, 디바인 아이템"
	20911	1	11	9	//	"인첸트 +11, 등급 9, 디바인 아이템"
	20912	1	12	9	//	"인첸트 +12, 등급 9, 디바인 아이템"
	30000	2	0	0	//	"인첸트 +0, 등급 0, 일반 에테리아 아이템"
	30001	2	1	0	//	"인첸트 +1, 등급 0, 일반 에테리아 아이템"
	30002	2	2	0	//	"인첸트 +2, 등급 0, 일반 에테리아 아이템"
	30003	2	3	0	//	"인첸트 +3, 등급 0, 일반 에테리아 아이템"
	30004	2	4	0	//	"인첸트 +4, 등급 0, 일반 에테리아 아이템"
	30005	2	5	0	//	"인첸트 +5, 등급 0, 일반 에테리아 아이템"
	30006	2	6	0	//	"인첸트 +6, 등급 0, 일반 에테리아 아이템"
	30007	2	7	0	//	"인첸트 +7, 등급 0, 일반 에테리아 아이템"
	30008	2	8	0	//	"인첸트 +8, 등급 0, 일반 에테리아 아이템"
	30009	2	9	0	//	"인첸트 +9, 등급 0, 일반 에테리아 아이템"
	30010	2	10	0	//	"인첸트 +10, 등급 0, 일반 에테리아 아이템"
	30011	2	11	0	//	"인첸트 +11, 등급 0, 일반 에테리아 아이템"
	30012	2	12	0	//	"인첸트 +12, 등급 0, 일반 에테리아 아이템"
	30100	2	0	1	//	"인첸트 +0, 등급 1, 일반 에테리아 아이템"
	30101	2	1	1	//	"인첸트 +1, 등급 1, 일반 에테리아 아이템"
	30102	2	2	1	//	"인첸트 +2, 등급 1, 일반 에테리아 아이템"
	30103	2	3	1	//	"인첸트 +3, 등급 1, 일반 에테리아 아이템"
	30104	2	4	1	//	"인첸트 +4, 등급 1, 일반 에테리아 아이템"
	30105	2	5	1	//	"인첸트 +5, 등급 1, 일반 에테리아 아이템"
	30106	2	6	1	//	"인첸트 +6, 등급 1, 일반 에테리아 아이템"
	30107	2	7	1	//	"인첸트 +7, 등급 1, 일반 에테리아 아이템"
	30108	2	8	1	//	"인첸트 +8, 등급 1, 일반 에테리아 아이템"
	30109	2	9	1	//	"인첸트 +9, 등급 1, 일반 에테리아 아이템"
	30110	2	10	1	//	"인첸트 +10, 등급 1, 일반 에테리아 아이템"
	30111	2	11	1	//	"인첸트 +11, 등급 1, 일반 에테리아 아이템"
	30112	2	12	1	//	"인첸트 +12, 등급 1, 일반 에테리아 아이템"
	30200	2	0	2	//	"인첸트 +0, 등급 2, 일반 에테리아 아이템"
	30201	2	1	2	//	"인첸트 +1, 등급 2, 일반 에테리아 아이템"
	30202	2	2	2	//	"인첸트 +2, 등급 2, 일반 에테리아 아이템"
	30203	2	3	2	//	"인첸트 +3, 등급 2, 일반 에테리아 아이템"
	30204	2	4	2	//	"인첸트 +4, 등급 2, 일반 에테리아 아이템"
	30205	2	5	2	//	"인첸트 +5, 등급 2, 일반 에테리아 아이템"
	30206	2	6	2	//	"인첸트 +6, 등급 2, 일반 에테리아 아이템"
	30207	2	7	2	//	"인첸트 +7, 등급 2, 일반 에테리아 아이템"
	30208	2	8	2	//	"인첸트 +8, 등급 2, 일반 에테리아 아이템"
	30209	2	9	2	//	"인첸트 +9, 등급 2, 일반 에테리아 아이템"
	30210	2	10	2	//	"인첸트 +10, 등급 2, 일반 에테리아 아이템"
	30211	2	11	2	//	"인첸트 +11, 등급 2, 일반 에테리아 아이템"
	30212	2	12	2	//	"인첸트 +12, 등급 2, 일반 에테리아 아이템"
	30300	2	0	3	//	"인첸트 +0, 등급 3, 일반 에테리아 아이템"
	30301	2	1	3	//	"인첸트 +1, 등급 3, 일반 에테리아 아이템"
	30302	2	2	3	//	"인첸트 +2, 등급 3, 일반 에테리아 아이템"
	30303	2	3	3	//	"인첸트 +3, 등급 3, 일반 에테리아 아이템"
	30304	2	4	3	//	"인첸트 +4, 등급 3, 일반 에테리아 아이템"
	30305	2	5	3	//	"인첸트 +5, 등급 3, 일반 에테리아 아이템"
	30306	2	6	3	//	"인첸트 +6, 등급 3, 일반 에테리아 아이템"
	30307	2	7	3	//	"인첸트 +7, 등급 3, 일반 에테리아 아이템"
	30308	2	8	3	//	"인첸트 +8, 등급 3, 일반 에테리아 아이템"
	30309	2	9	3	//	"인첸트 +9, 등급 3, 일반 에테리아 아이템"
	30310	2	10	3	//	"인첸트 +10, 등급 3, 일반 에테리아 아이템"
	30311	2	11	3	//	"인첸트 +11, 등급 3, 일반 에테리아 아이템"
	30312	2	12	3	//	"인첸트 +12, 등급 3, 일반 에테리아 아이템"
	30400	2	0	4	//	"인첸트 +0, 등급 4, 일반 에테리아 아이템"
	30401	2	1	4	//	"인첸트 +1, 등급 4, 일반 에테리아 아이템"
	30402	2	2	4	//	"인첸트 +2, 등급 4, 일반 에테리아 아이템"
	30403	2	3	4	//	"인첸트 +3, 등급 4, 일반 에테리아 아이템"
	30404	2	4	4	//	"인첸트 +4, 등급 4, 일반 에테리아 아이템"
	30405	2	5	4	//	"인첸트 +5, 등급 4, 일반 에테리아 아이템"
	30406	2	6	4	//	"인첸트 +6, 등급 4, 일반 에테리아 아이템"
	30407	2	7	4	//	"인첸트 +7, 등급 4, 일반 에테리아 아이템"
	30408	2	8	4	//	"인첸트 +8, 등급 4, 일반 에테리아 아이템"
	30409	2	9	4	//	"인첸트 +9, 등급 4, 일반 에테리아 아이템"
	30410	2	10	4	//	"인첸트 +10, 등급 4, 일반 에테리아 아이템"
	30411	2	11	4	//	"인첸트 +11, 등급 4, 일반 에테리아 아이템"
	30412	2	12	4	//	"인첸트 +12, 등급 4, 일반 에테리아 아이템"
	30500	2	0	5	//	"인첸트 +0, 등급 5, 일반 에테리아 아이템"
	30501	2	1	5	//	"인첸트 +1, 등급 5, 일반 에테리아 아이템"
	30502	2	2	5	//	"인첸트 +2, 등급 5, 일반 에테리아 아이템"
	30503	2	3	5	//	"인첸트 +3, 등급 5, 일반 에테리아 아이템"
	30504	2	4	5	//	"인첸트 +4, 등급 5, 일반 에테리아 아이템"
	30505	2	5	5	//	"인첸트 +5, 등급 5, 일반 에테리아 아이템"
	30506	2	6	5	//	"인첸트 +6, 등급 5, 일반 에테리아 아이템"
	30507	2	7	5	//	"인첸트 +7, 등급 5, 일반 에테리아 아이템"
	30508	2	8	5	//	"인첸트 +8, 등급 5, 일반 에테리아 아이템"
	30509	2	9	5	//	"인첸트 +9, 등급 5, 일반 에테리아 아이템"
	30510	2	10	5	//	"인첸트 +10, 등급 5, 일반 에테리아 아이템"
	30511	2	11	5	//	"인첸트 +11, 등급 5, 일반 에테리아 아이템"
	30512	2	12	5	//	"인첸트 +12, 등급 5, 일반 에테리아 아이템"
	30600	2	0	6	//	"인첸트 +0, 등급 6, 일반 에테리아 아이템"
	30601	2	1	6	//	"인첸트 +1, 등급 6, 일반 에테리아 아이템"
	30602	2	2	6	//	"인첸트 +2, 등급 6, 일반 에테리아 아이템"
	30603	2	3	6	//	"인첸트 +3, 등급 6, 일반 에테리아 아이템"
	30604	2	4	6	//	"인첸트 +4, 등급 6, 일반 에테리아 아이템"
	30605	2	5	6	//	"인첸트 +5, 등급 6, 일반 에테리아 아이템"
	30606	2	6	6	//	"인첸트 +6, 등급 6, 일반 에테리아 아이템"
	30607	2	7	6	//	"인첸트 +7, 등급 6, 일반 에테리아 아이템"
	30608	2	8	6	//	"인첸트 +8, 등급 6, 일반 에테리아 아이템"
	30609	2	9	6	//	"인첸트 +9, 등급 6, 일반 에테리아 아이템"
	30610	2	10	6	//	"인첸트 +10, 등급 6, 일반 에테리아 아이템"
	30611	2	11	6	//	"인첸트 +11, 등급 6, 일반 에테리아 아이템"
	30612	2	12	6	//	"인첸트 +12, 등급 6, 일반 에테리아 아이템"
	30700	2	0	7	//	"인첸트 +0, 등급 7, 일반 에테리아 아이템"
	30701	2	1	7	//	"인첸트 +1, 등급 7, 일반 에테리아 아이템"
	30702	2	2	7	//	"인첸트 +2, 등급 7, 일반 에테리아 아이템"
	30703	2	3	7	//	"인첸트 +3, 등급 7, 일반 에테리아 아이템"
	30704	2	4	7	//	"인첸트 +4, 등급 7, 일반 에테리아 아이템"
	30705	2	5	7	//	"인첸트 +5, 등급 7, 일반 에테리아 아이템"
	30706	2	6	7	//	"인첸트 +6, 등급 7, 일반 에테리아 아이템"
	30707	2	7	7	//	"인첸트 +7, 등급 7, 일반 에테리아 아이템"
	30708	2	8	7	//	"인첸트 +8, 등급 7, 일반 에테리아 아이템"
	30709	2	9	7	//	"인첸트 +9, 등급 7, 일반 에테리아 아이템"
	30710	2	10	7	//	"인첸트 +10, 등급 7, 일반 에테리아 아이템"
	30711	2	11	7	//	"인첸트 +11, 등급 7, 일반 에테리아 아이템"
	30712	2	12	7	//	"인첸트 +12, 등급 7, 일반 에테리아 아이템"
