//최종수정자:김태현		행	13	1120					//	헌팅은몬스터타입1			///5분확률:0.025																																																																																																																																																																																																																																																		
//	최초작성일2005년4월42일	열	1	28					//	필드는몬스터타입2			//리젠타임		12000																																																																																																																																																																																																																																																
//	최종수정일:	2009-05-28																																																																																																																																																																																																																																																													
//Version	0.0.0.1																																																																																																																																																																																																																																																														
//		필드시작/끝	710	4220																																																																																																																																																																																																																																																											
//																																																																																																																																																																																																																																																															
//																																																																																																																																																																																																																																																															
//	//몬스터스프레딩스크립트																																																																																																																																																																																																																																																														
//					//좌표계번호가9900인경우해당맵에서랜덤하게등장하는몬스터이다.																			*파라미터추가!!!!!여기부터~																																																																																																																																																																																																																																							
//	//번호	필드의설명	맵번호	세부맵번호	좌표계번호	배치몬스터타입	리젠우선순위	영역속성	리젠타임	리젠확률	그룹ID1	그룹ID2	그룹ID3	몬스터1코드	몬스터당최대	몬스터2코드	몬스터당최대	몬스터3코드	몬스터당최대	몬스터4코드	몬스터당최대	몬스터5코드	몬스터당최대	몬스터6코드	몬스터당최대	몬스터7코드	몬스터당최대																																																																																																																																																																																																																																				
	Num	Desc	Mapcode	FieldIndex	LocationID	MonType	bAllRegen	byMoveAttitude	dRegenTime	fRegenRate	GroupID1	GroupID2	GroupID3	MonCode1	MaxRegenLimit1	MonCode2	MaxRegenLimit2	MonCode3	MaxRegenLimit3	MonCode4	MaxRegenLimit4	MonCode5	MaxRegenLimit5	MonCode6	MaxRegenLimit6	MonCode7	MaxRegenLimit7	FieldEnd																																																																																																																																																																																																																																			
//	10072 	자피르호수	20004	20004	1061	2	0	0	240000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10073 	자피르호수	20004	20004	1062	2	0	0	180000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10074 	자피르호수	20004	20004	1063	2	0	0	180000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10075 	자피르호수	20004	20004	1064	2	0	0	120000	1	0	0	0	4	2	9	2	7013	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10076 	자피르호수	20004	20004	1065	2	0	0	180000	1	0	0	0	4	2	9	2	7013	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10077 	자피르호수	20004	20004	1066	2	0	0	240000	1	0	0	0	4	2	9	2	7013	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10078 	자피르호수	20004	20004	1067	2	0	0	180000	1	0	0	0	4	2	9	2	7013	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10079 	자피르호수	20004	20004	1068	2	0	0	180000	1	0	0	0	4	2	9	2	7013	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10080 	자피르호수	20004	20004	1069	2	0	0	180000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10081 	자피르호수	20004	20004	1070	2	0	0	120000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10082 	자피르호수	20004	20004	1071	2	0	0	180000	1	0	0	0	4	2	9	2	7013	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10083 	자피르호수	20004	20004	1072	2	0	0	240000	1	0	0	0	4	2	9	2	7013	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10084 	자피르호수	20004	20004	1073	2	0	0	120000	1	0	0	0	4	2	9	2	7013	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10086 	자피르호수	20004	20004	1075	2	0	0	240000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10087 	자피르호수	20004	20004	1076	2	0	0	180000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10089 	자피르호수	20004	20004	1078	2	0	0	180000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10090 	자피르호수	20004	20004	1079	2	0	0	180000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10091 	자피르호수	20004	20004	1080	2	0	0	180000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10092 	자피르호수	20004	20004	1081	2	0	0	120000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10093 	자피르호수	20004	20004	1082	2	0	0	180000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10094 	자피르호수	20004	20004	1083	2	0	0	240000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10095 	자피르호수	20004	20004	1084	2	0	0	180000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10096 	자피르호수	20004	20004	1085	2	0	0	180000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10097 	자피르호수	20004	20004	1086	2	0	0	120000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10098 	자피르호수	20004	20004	1087	2	0	0	180000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10100 	자피르호수	20004	20004	1089	2	0	0	180000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10102 	자피르호수	20004	20004	1091	2	0	0	180000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10103 	자피르호수	20004	20004	1092	2	0	0	120000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10104 	자피르호수	20004	20004	1093	2	0	0	180000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10105 	자피르호수	20004	20004	1094	2	0	0	240000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10106 	자피르호수	20004	20004	1095	2	0	0	180000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10107 	자피르호수	20004	20004	1096	2	0	0	180000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10108 	자피르호수	20004	20004	1097	2	0	0	120000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10109 	자피르호수	20004	20004	1098	2	0	0	180000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10110 	자피르호수	20004	20004	1099	2	0	0	240000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10111 	자피르호수	20004	20004	1100	2	0	0	120000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10112 	자피르호수	20004	20004	1101	2	0	0	180000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10113 	자피르호수	20004	20004	1102	2	0	0	240000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10114 	자피르호수	20004	20004	1103	2	0	0	180000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10115 	자피르호수	20004	20004	1104	2	0	0	120000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10116 	자피르호수	20004	20004	1105	2	0	0	180000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10117 	자피르호수	20004	20004	1106	2	0	0	240000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10118 	자피르호수	20004	20004	1107	2	0	0	120000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10119 	자피르호수	20004	20004	1108	2	0	0	180000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10120 	자피르호수	20004	20004	1109	2	0	0	240000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10121 	자피르호수	20004	20004	1110	2	0	0	120000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10122 	자피르호수	20004	20004	1111	2	0	0	180000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10123 	자피르호수	20004	20004	1112	2	0	0	240000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10124 	자피르호수	20004	20004	1113	2	0	0	120000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10125 	자피르호수	20004	20004	1114	2	0	0	180000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10126 	자피르호수	20004	20004	1115	2	0	0	240000	1	0	0	0	14	2	17	2	7019	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10127 	자피르호수	20004	20004	1116	2	0	0	180000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10128 	자피르호수	20004	20004	1117	2	0	0	180000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10129 	자피르호수	20004	20004	1118	2	0	0	120000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10130 	자피르호수	20004	20004	1119	2	0	0	180000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10131 	자피르호수	20004	20004	1120	2	0	0	240000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10132 	자피르호수	20004	20004	1121	2	0	0	180000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10133 	자피르호수	20004	20004	1122	2	0	0	180000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10134 	자피르호수	20004	20004	1123	2	0	0	180000	1	0	0	0	14	2	17	2	7018	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10135 	자피르호수	20004	20004	1124	2	0	0	120000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10136 	자피르호수	20004	20004	1125	2	0	0	180000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10139 	자피르호수	20004	20004	1128	2	0	0	120000	1	0	0	0	4	2	9	2	7013	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10141 	자피르호수	20004	20004	1131	2	0	0	120000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10142 	자피르호수	20004	20004	1132	2	0	0	120000	1	0	0	0	4	2	9	2	7013	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10143 	자피르호수	20004	20004	1133	2	0	0	120000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10144 	자피르호수	20004	20004	1134	2	0	0	180000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10145 	자피르호수	20004	20004	1135	2	0	0	180000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10146 	자피르호수	20004	20004	1136	2	0	0	120000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10147 	자피르호수	20004	20004	1137	2	0	0	120000	1	0	0	0	13	2	16	2	7017	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
//	10148 	자피르호수	20004	20004	1138	2	0	0	120000	1	0	0	0	10	2	13	2	7016	1	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																				
